Rank,Beer,Brewery,Style,ABV,Rating,Ratings,Reviews
200,French Vanilla Militia,Three Floyds Brewing Company,Russian Imperial Stout,Imperial,4.37,106,75
201,Double Dry Hopped Melcher Street,Trillium Brewing Company,American IPA,7.30%,4.37,720,171
202,Peche 'n Brett,Logsdon Farmhouse Ales,Saison / Farmhouse Ale,10.00%,4.37,1239,49
203,Nelson,Alpine Beer Company,American IPA,7.00%,4.37,4031,173
204,Aaron,Hill Farmstead Brewery,English Barleywine,BreweryEnglish,4.37,319,100
205,Damon (Bourbon Barrel Aged),Hill Farmstead Brewery,Russian Imperial Stout,10.50%,4.37,655,182
206,Cantillon Gueuze 100% Lambic,Brasserie Cantillon,Gueuze,5.00%,4.37,3095,154
207,Stone Enjoy By Unfiltered IPA,Stone Brewing,American Double / Imperial IPA,9.40%,4.37,1116,73
208,P‚ch‚ Mortel En F–t De Bourbon Am‚ricain,Brasserie Dieu du Ciel!,American Double / Imperial Stout,9.50%,4.37,441,181
209,Pugachev Royale,Hangar 24 Brewery,Russian Imperial Stout,14.80%,4.37,169,79
210,All Green Everything,Other Half Brewing Company,American Double / Imperial IPA,10.50%,4.37,946,23
211,Dragonsaddle,Hoof Hearted Brewing,American Double / Imperial IPA,11.20%,4.37,173,116
212,Kuhnhenn Raspberry Eisbock,Kuhnhenn Brewing Company,Eisbock,15.50%,4.37,1225,130
213,AleSmith Speedway Stout,AleSmith Brewing Company,American Double / Imperial Stout,12.00%,4.37,6605,9
214,Barrel-Aged Silhouette,Lift Bridge Brewery,Russian Imperial Stout,10.00%,4.36,338,120
215,Lumen,Grimm Artisanal Ales,American IPA,6.40%,4.36,248,120
216,Mosaic IPA,Other Half Brewing Company,American IPA,7.20%,4.36,341,120
217,Drie Fonteinen Hommage,Brouwerij Drie Fonteinen,Lambic - Fruit,6.00%,4.36,838,52
218,Grey Monday,The Bruery,American Double / Imperial Stout,19.50%,4.36,1655,35
219,The Pupil,Societe Brewing Company,American IPA,7.80%,4.36,870,184
220,Dialed In (w/ Sauvignon Blanc Juice),Trillium Brewing Company,American Double / Imperial IPA,8.50%,4.36,396,140
221,Box Set Track #10 - Bat Out Of Hell,The Lost Abbey,American Double / Imperial Stout,13.50%,4.36,965,32
222,Bourbon Barrel Oro Negro,Jackie O's Pub & Brewery,American Double / Imperial Stout,11.00%,4.36,211,106
223,Breakfast Exorcism,Clown Shoes,American Double / Imperial Stout,11.00%,4.36,319,138
224,Bourbon Barrel Black Maple,Jackie O's Pub & Brewery,American Porter,11.00%,4.36,871,181
225,Mexican Cake,Westbrook Brewing Company,American Double / Imperial Stout,10.50%,4.36,2619,104
226,Callipygian,Avery Brewing Company,American Double / Imperial Stout,17.10%,4.36,354,160
227,Tesseract,Grimm Artisanal Ales,American Double / Imperial IPA,8.00%,4.36,458,165
228,Cantillon Lou Pepe - Gueuze,Brasserie Cantillon,Gueuze,5.00%,4.36,1100,71
229,Buxton / Omnipollo Yellow Belly,Buxton Brewery,American Double / Imperial Stout,11.00%,4.36,227,132
230,ScareCity #3: High West-ified Imperial Coffee Stout,Lagunitas Brewing Company,American Double / Imperial Stout,12.10%,4.36,1327,59
231,Last Buffalo In The Park,Funky Buddha Brewery,American Double / Imperial Stout,11.50%,4.36,141,46
