"","Brewery","Beer","Street","Street2","City","State","Zip","Latitude","Longitude"
"144","Grimm Artisanal Ales","Afterimage","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"145","Grimm Artisanal Ales","Tesseract","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"146","Grimm Artisanal Ales","Lambo Door","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"147","Grimm Artisanal Ales","Magnetic Compass","PO Box 150472","","Brooklyn","NY","11215","41.8869818",-87.6724
"148","Hair of the Dog Brewing Company / Brewery and Tasting Room","Matt","61 SE Yamhill St","","Portland","OR","97214","34.0831712",-117.1419134
"149","Hair of the Dog Brewing Company / Brewery and Tasting Room","Adam From The Wood","61 SE Yamhill St","","Portland","OR","97214","34.0831712",-117.1419134
"150","Hangar 24 Brewery","Pugachev Royale","1710 Sessums Drive","","Redlands","CA","92374","45.5160413",-122.6655235
"151","Hardywood Park Craft Brewery","Trickery","2410 Ownby Ln","","Richmond","VA","23220","40.22451332",-105.2676934
"152","Hardywood Park Craft Brewery","Kentucky Christmas Morning","2410 Ownby Ln","","Richmond","VA","23220","40.22451332",-105.2676934
"153","Haymarket Pub & Brewery","Clare's Thirsty Ale","737 W. Randolph","","Chicago","IL","60661","41.8841279",-87.6494349
"154","Heist Brewery","Citraquench'l","2901 N Davidson St","","Charlotte","NC","28205","35.245171",-80.809082
"155","Hill Farmstead Brewery","Ann","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"156","Hill Farmstead Brewery","Abner","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"157","Hill Farmstead Brewery","Double Citra","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"158","Hill Farmstead Brewery","Double Galaxy","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"159","Hill Farmstead Brewery","Society & Solitude #4","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"160","Hill Farmstead Brewery","Ephraim","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"161","Hill Farmstead Brewery","What Is Enlightenment?","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"162","Hill Farmstead Brewery","Damon (Bourbon Barrel Aged)","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"163","Hill Farmstead Brewery","Civil Disobedience #15","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"164","Hill Farmstead Brewery","Aaron","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"165","Hill Farmstead Brewery","Beyond Good And Evil","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"166","Hill Farmstead Brewery","Nelson Single Hop","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"167","Hill Farmstead Brewery","Citra Pale Ale","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"168","Hill Farmstead Brewery","Birth Of Tragedy","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"169","Hill Farmstead Brewery","Society & Solitude #5","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"170","Hill Farmstead Brewery","Edward","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"171","Hill Farmstead Brewery","Susan","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"172","Hill Farmstead Brewery","Clover","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"173","Hill Farmstead Brewery","Everett Porter","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"174","Hill Farmstead Brewery","Juicy","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"175","Hill Farmstead Brewery","Genealogy Of Morals (Bourbon Barrel Aged)","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"176","Hill Farmstead Brewery","Society & Solitude #6","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"177","Hill Farmstead Brewery","Flora Plum","403 Hill Rd","","Greensboro Bend","VT","5842","44.6068317",-72.2653128
"178","Hoof Hearted Brewing","Dragonsaddle","300 County Rd 26","","Marengo","CO","43334","37.5634246",-77.4580699
"179","J. Wakefield Brewing","Dragon Fruit Passion Fruit Berliner","120 NW 24th St","","Miami","FL","33127","25.7995463",-80.1975284
"180","J. Wakefield Brewing","Miami Madness","120 NW 24th St","","Miami","FL","33127","25.7995463",-80.1975284
"181","Jackie O's Pub & Brewery","Oro Negro","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
"182","Jackie O's Pub & Brewery","Bourbon Barrel Black Maple","24 W Union St","","Athens","OH","45701","25.7995463",-80.1975284
